id,title,genres,averageRating,numVotes,releaseYear
tt7869070,"The Fanatic","Crime, Drama, Horror",4.1,12733,2019
tt0120604,Beowulf,"Action, Adventure, Fantasy",4.1,12720,1999
tt4382872,Extraction,"Action, Thriller",4.1,12126,2015
tt8433210,"A Dark Foe","Crime, Drama, Horror",4.1,11817,2020
tt0200469,Bats,"Horror, Sci-Fi, Thriller",4.1,11636,1999
tt12772746,Diverged,"Drama, Horror, Thriller",4.1,11626,2021
tt2322441,"Fifty Shades of Grey","Drama, Romance, Thriller",4.2,340913,2015
tt0477051,Norbit,"Comedy, Romance",4.2,81192,2007
tt10280276,"Coolie No. 1","Action, Comedy, Romance",4.2,74372,2020
tt0108255,"Super Mario Bros.","Adventure, Comedy, Family",4.2,63920,1993
tt0107978,"RoboCop 3","Action, Crime, Sci-Fi",4.2,55378,1993
tt0141369,"Inspector Gadget","Action, Adventure, Comedy",4.2,51561,1999
tt0102034,"Highlander II: The Quickening","Action, Adventure, Fantasy",4.2,48620,1991
tt9660182,"Resident Evil","Action, Horror, Sci-Fi",4.2,46798,2022
tt1560985,"The Devil Inside",Horror,4.2,37850,2012
tt0357507,Boogeyman,"Drama, Horror, Mystery",4.2,32935,2005
tt0176269,"Universal Soldier: The Return","Action, Sci-Fi",4.2,31095,1999
tt3120430,Mantus,"Comedy, Drama, Thriller",4.2,28726,2014
tt10062556,"Bhuj: The Pride of India","Action, Drama, History",4.2,25029,2021
tt2309260,"The Gallows","Horror, Mystery, Thriller",4.2,21863,2015
tt0318081,"A Sound of Thunder","Action, Adventure, Horror",4.2,20736,2005
tt3704538,"V/H/S Viral","Horror, Thriller",4.2,20100,2014
tt2752758,"Devil's Due","Horror, Mystery",4.2,18002,2014
tt0120860,"From Dusk Till Dawn 2: Texas Blood Money","Crime, Horror, Thriller",4.2,17713,1999
tt3480796,Vice,"Action, Sci-Fi, Thriller",4.2,17206,2015
tt8597594,Adverse,"Crime, Thriller",4.2,16218,2020
tt6372694,"Prisoners of the Ghostland","Fantasy, Horror, Thriller",4.2,14609,2021
tt5159414,"Escape Room","Horror, Thriller",4.2,14258,2017
tt13978306,Brazen,"Crime, Drama, Mystery",4.2,14015,2022
tt0120786,"The Patriot","Action, Thriller",4.2,13485,1998
tt0354623,"Hellraiser: Hellworld",Horror,4.2,13349,2005
tt7209472,"Aiyai: Wrathful Soul","Mystery, Thriller",4.2,12894,2020
tt0410650,"Species III","Horror, Sci-Fi",4.2,11254,2004
tt2933474,Superfast!,"Action, Comedy, Crime",4.2,11097,2015
tt2178508,"Son of Sardaar","Action, Comedy, Romance",4.2,10854,2012
tt0089200,Ghoulies,"Comedy, Fantasy, Horror",4.2,10662,1984
tt13452100,"Fabulous Lives of Bollywood Wives","Documentary, Reality-TV, Romance",4.2,10454,2020
tt11576124,Rogue,"Action, Horror, Thriller",4.2,10028,2020
tt1502712,"Fantastic Four","Action, Adventure, Sci-Fi",4.3,179880,2015
tt1071875,"Ghost Rider: Spirit of Vengeance","Action, Fantasy, Thriller",4.3,128255,2011
tt1043726,"The Legend of Hercules","Action, Adventure, Fantasy",4.3,56610,2014
tt15979666,"The Archies","Comedy, Drama, Musical",4.3,52980,2023
